review,sentiment
One of the best movies this year.,positive
Disappointing in every aspect.,negative
One of the best movies this year.,positive
Poorly written and poorly executed.,negative
Bad direction and weak script.,negative
Absolutely loved this movie!,positive
Truly captivating from start to finish.,positive
Disappointing in every aspect.,negative
The acting was awful.,negative
Bad direction and weak script.,negative
One of the best movies this year.,positive
A must-watch for everyone.,positive
A must-watch for everyone.,positive
The plot made no sense.,negative
One of the best movies this year.,positive
Truly captivating from start to finish.,positive
The plot made no sense.,negative
An outstanding film with brilliant performances.,positive
Bad direction and weak script.,negative
The acting was awful.,negative
Truly captivating from start to finish.,positive
I couldn’t sit through the whole thing.,negative
I regret watching this.,negative
Heartwarming and inspiring.,positive
"Terrible movie, complete waste of time.",negative
Absolutely loved this movie!,positive
The plot made no sense.,negative
I couldn’t sit through the whole thing.,negative
The direction was top-notch.,positive
One of the worst films ever.,negative
A must-watch for everyone.,positive
Absolutely loved this movie!,positive
Absolutely loved this movie!,positive
"Terrible movie, complete waste of time.",negative
Excellent plot and great acting.,positive
Heartwarming and inspiring.,positive
An outstanding film with brilliant performances.,positive
I couldn’t sit through the whole thing.,negative
"Terrible movie, complete waste of time.",negative
One of the best movies this year.,positive
"Terrible movie, complete waste of time.",negative
This film was a masterpiece.,positive
I couldn’t sit through the whole thing.,negative
An outstanding film with brilliant performances.,positive
The acting was awful.,negative
Disappointing in every aspect.,negative
Beautiful story and amazing visuals.,positive
This film was a masterpiece.,positive
Heartwarming and inspiring.,positive
The plot made no sense.,negative
Beautiful story and amazing visuals.,positive
Heartwarming and inspiring.,positive
Poorly written and poorly executed.,negative
One of the best movies this year.,positive
This film was a masterpiece.,positive
Heartwarming and inspiring.,positive
Disappointing in every aspect.,negative
Truly captivating from start to finish.,positive
Heartwarming and inspiring.,positive
The plot made no sense.,negative
One of the worst films ever.,negative
Poorly written and poorly executed.,negative
One of the worst films ever.,negative
One of the worst films ever.,negative
Excellent plot and great acting.,positive
I couldn’t sit through the whole thing.,negative
A must-watch for everyone.,positive
A must-watch for everyone.,positive
Beautiful story and amazing visuals.,positive
"Terrible movie, complete waste of time.",negative
I couldn’t sit through the whole thing.,negative
"Terrible movie, complete waste of time.",negative
Bad direction and weak script.,negative
One of the worst films ever.,negative
I regret watching this.,negative
Disappointing in every aspect.,negative
The plot made no sense.,negative
Beautiful story and amazing visuals.,positive
An outstanding film with brilliant performances.,positive
I regret watching this.,negative
Heartwarming and inspiring.,positive
The direction was top-notch.,positive
This film was a masterpiece.,positive
Absolutely loved this movie!,positive
Excellent plot and great acting.,positive
An outstanding film with brilliant performances.,positive
I couldn’t sit through the whole thing.,negative
The plot made no sense.,negative
Poorly written and poorly executed.,negative
An outstanding film with brilliant performances.,positive
Truly captivating from start to finish.,positive
Truly captivating from start to finish.,positive
Absolutely loved this movie!,positive
The acting was awful.,negative
A must-watch for everyone.,positive
A must-watch for everyone.,positive
Excellent plot and great acting.,positive
I regret watching this.,negative
This film was a masterpiece.,positive
An outstanding film with brilliant performances.,positive
This film was a masterpiece.,positive
The plot made no sense.,negative
I couldn’t sit through the whole thing.,negative
One of the best movies this year.,positive
One of the worst films ever.,negative
This film was a masterpiece.,positive
Bad direction and weak script.,negative
I couldn’t sit through the whole thing.,negative
This film was a masterpiece.,positive
I regret watching this.,negative
The acting was awful.,negative
Disappointing in every aspect.,negative
The direction was top-notch.,positive
One of the worst films ever.,negative
Excellent plot and great acting.,positive
One of the best movies this year.,positive
Poorly written and poorly executed.,negative
"Terrible movie, complete waste of time.",negative
Poorly written and poorly executed.,negative
Truly captivating from start to finish.,positive
Beautiful story and amazing visuals.,positive
The acting was awful.,negative
This film was a masterpiece.,positive
A must-watch for everyone.,positive
Excellent plot and great acting.,positive
A must-watch for everyone.,positive
Bad direction and weak script.,negative
One of the best movies this year.,positive
Poorly written and poorly executed.,negative
Absolutely loved this movie!,positive
Unwatchable and boring.,negative
Absolutely loved this movie!,positive
This film was a masterpiece.,positive
Heartwarming and inspiring.,positive
One of the best movies this year.,positive
Bad direction and weak script.,negative
Absolutely loved this movie!,positive
Poorly written and poorly executed.,negative
A must-watch for everyone.,positive
An outstanding film with brilliant performances.,positive
"Terrible movie, complete waste of time.",negative
I couldn’t sit through the whole thing.,negative
"Terrible movie, complete waste of time.",negative
Heartwarming and inspiring.,positive
Absolutely loved this movie!,positive
Bad direction and weak script.,negative
Beautiful story and amazing visuals.,positive
The acting was awful.,negative
One of the worst films ever.,negative
A must-watch for everyone.,positive
Beautiful story and amazing visuals.,positive
A must-watch for everyone.,positive
Bad direction and weak script.,negative
I regret watching this.,negative
Heartwarming and inspiring.,positive
Heartwarming and inspiring.,positive
One of the worst films ever.,negative
Excellent plot and great acting.,positive
I regret watching this.,negative
The direction was top-notch.,positive
This film was a masterpiece.,positive
One of the worst films ever.,negative
The acting was awful.,negative
I couldn’t sit through the whole thing.,negative
This film was a masterpiece.,positive
Unwatchable and boring.,negative
Excellent plot and great acting.,positive
Excellent plot and great acting.,positive
I regret watching this.,negative
One of the best movies this year.,positive
"Terrible movie, complete waste of time.",negative
Absolutely loved this movie!,positive
Disappointing in every aspect.,negative
The acting was awful.,negative
Excellent plot and great acting.,positive
Disappointing in every aspect.,negative
Heartwarming and inspiring.,positive
I couldn’t sit through the whole thing.,negative
One of the worst films ever.,negative
The plot made no sense.,negative
The acting was awful.,negative
Bad direction and weak script.,negative
Absolutely loved this movie!,positive
Heartwarming and inspiring.,positive
Bad direction and weak script.,negative
Poorly written and poorly executed.,negative
The direction was top-notch.,positive
Heartwarming and inspiring.,positive
Heartwarming and inspiring.,positive
One of the worst films ever.,negative
Heartwarming and inspiring.,positive
I couldn’t sit through the whole thing.,negative
"Terrible movie, complete waste of time.",negative
I couldn’t sit through the whole thing.,negative
Truly captivating from start to finish.,positive
Excellent plot and great acting.,positive
Poorly written and poorly executed.,negative
Bad direction and weak script.,negative
This film was a masterpiece.,positive
I regret watching this.,negative
Truly captivating from start to finish.,positive
Absolutely loved this movie!,positive
An outstanding film with brilliant performances.,positive
One of the worst films ever.,negative
Heartwarming and inspiring.,positive
One of the best movies this year.,positive
Unwatchable and boring.,negative
The direction was top-notch.,positive
I regret watching this.,negative
One of the best movies this year.,positive
One of the worst films ever.,negative
Poorly written and poorly executed.,negative
A must-watch for everyone.,positive
Absolutely loved this movie!,positive
Unwatchable and boring.,negative
Disappointing in every aspect.,negative
Excellent plot and great acting.,positive
Disappointing in every aspect.,negative
One of the best movies this year.,positive
One of the best movies this year.,positive
Bad direction and weak script.,negative
Beautiful story and amazing visuals.,positive
I regret watching this.,negative
Unwatchable and boring.,negative
The plot made no sense.,negative
Unwatchable and boring.,negative
One of the worst films ever.,negative
The plot made no sense.,negative
One of the worst films ever.,negative
Absolutely loved this movie!,positive
The acting was awful.,negative
The direction was top-notch.,positive
A must-watch for everyone.,positive
"Terrible movie, complete waste of time.",negative
Bad direction and weak script.,negative
I regret watching this.,negative
Bad direction and weak script.,negative
Heartwarming and inspiring.,positive
Poorly written and poorly executed.,negative
An outstanding film with brilliant performances.,positive
Excellent plot and great acting.,positive
This film was a masterpiece.,positive
Bad direction and weak script.,negative
Absolutely loved this movie!,positive
One of the worst films ever.,negative
I regret watching this.,negative
One of the worst films ever.,negative
Unwatchable and boring.,negative
This film was a masterpiece.,positive
An outstanding film with brilliant performances.,positive
One of the worst films ever.,negative
One of the worst films ever.,negative
Disappointing in every aspect.,negative
The acting was awful.,negative
Disappointing in every aspect.,negative
The plot made no sense.,negative
An outstanding film with brilliant performances.,positive
The plot made no sense.,negative
The direction was top-notch.,positive
Poorly written and poorly executed.,negative
